Date;Price;High;Low
08/02/2025;0.02206;0.02230;0.02069
07/02/2025;0.02122;0.02319;0.02041
06/02/2025;0.02088;0.02324;0.02068
05/02/2025;0.02250;0.02404;0.02216
04/02/2025;0.02254;0.02466;0.02110
03/02/2025;0.02447;0.02491;0.01718
02/02/2025;0.02386;0.02888;0.02248
01/02/2025;0.02821;0.03256;0.02806
31/01/2025;0.03184;0.03428;0.03025
30/01/2025;0.03105;0.03193;0.02866
29/01/2025;0.02900;0.03018;0.02727
28/01/2025;0.02740;0.03116;0.02703
27/01/2025;0.03031;0.03097;0.02696
26/01/2025;0.03071;0.03305;0.03071
25/01/2025;0.03222;0.03279;0.03175
24/01/2025;0.03246;0.03415;0.03147
23/01/2025;0.03292;0.03386;0.03184
22/01/2025;0.03287;0.03490;0.03274
21/01/2025;0.03409;0.03520;0.03096
20/01/2025;0.03261;0.03653;0.03163
19/01/2025;0.03322;0.03865;0.03257
18/01/2025;0.03732;0.04178;0.03615
17/01/2025;0.04120;0.04229;0.03855
16/01/2025;0.03855;0.04058;0.03792
15/01/2025;0.03911;0.03950;0.03555
14/01/2025;0.03638;0.03719;0.03347
13/01/2025;0.03350;0.03597;0.03047
11/01/2025;0.03553;0.03627;0.03503
10/01/2025;0.03536;0.03618;0.03342
09/01/2025;0.03374;0.03542;0.03275
08/01/2025;0.03476;0.03782;0.03292
07/01/2025;0.03722;0.04341;0.03716
06/01/2025;0.04287;0.04451;0.04114
05/01/2025;0.04195;0.04254;0.04067
04/01/2025;0.04245;0.04390;0.04178
03/01/2025;0.04340;0.04438;0.03896
02/01/2025;0.03914;0.03998;0.03700
01/01/2025;0.03706;0.03756;0.03381
31/12/2024;0.03430;0.03600;0.03340
30/12/2024;0.03451;0.03602;0.03310
29/12/2024;0.03469;0.03714;0.03435
28/12/2024;0.03670;0.03767;0.03426
27/12/2024;0.03485;0.03800;0.03451
26/12/2024;0.03526;0.03914;0.03488
25/12/2024;0.03849;0.03977;0.03785
24/12/2024;0.03969;0.04083;0.03618
23/12/2024;0.03780;0.03907;0.03394
22/12/2024;0.03470;0.03657;0.03380
21/12/2024;0.03512;0.04086;0.03460
20/12/2024;0.03743;0.03796;0.02950
19/12/2024;0.03532;0.04052;0.03382
18/12/2024;0.04003;0.04498;0.03984
17/12/2024;0.04468;0.04808;0.04368
16/12/2024;0.04808;0.05192;0.04771
15/12/2024;0.05081;0.05205;0.04810
14/12/2024;0.04932;0.05255;0.04778
13/12/2024;0.05200;0.05285;0.04956
12/12/2024;0.05090;0.05474;0.05015
11/12/2024;0.05178;0.05290;0.04384
10/12/2024;0.04570;0.04882;0.04114
09/12/2024;0.04793;0.06050;0.04048
08/12/2024;0.06060;0.06370;0.05867
07/12/2024;0.06100;0.06186;0.05814
06/12/2024;0.05944;0.06217;0.05676
05/12/2024;0.06040;0.06395;0.05606
04/12/2024;0.06026;0.06640;0.05056
03/12/2024;0.05147;0.05402;0.04618
02/12/2024;0.04671;0.04701;0.04106
01/12/2024;0.04414;0.04532;0.04246
30/11/2024;0.04482;0.04600;0.03878
29/11/2024;0.03999;0.04072;0.03842
28/11/2024;0.03972;0.03991;0.03573
27/11/2024;0.03724;0.03826;0.03546
26/11/2024;0.03661;0.03784;0.03273
25/11/2024;0.03664;0.04068;0.03589
24/11/2024;0.03951;0.04112;0.03428
23/11/2024;0.03513;0.03542;0.02922
22/11/2024;0.02972;0.02978;0.02764
21/11/2024;0.02900;0.02995;0.02683
20/11/2024;0.02790;0.03012;0.02705
19/11/2024;0.02940;0.03159;0.02853
18/11/2024;0.03151;0.03242;0.02813
17/11/2024;0.02826;0.03095;0.02731
16/11/2024;0.03071;0.03123;0.02620
15/11/2024;0.02636;0.02661;0.02403
14/11/2024;0.02464;0.02772;0.02422
13/11/2024;0.02681;0.02882;0.02451
12/11/2024;0.02724;0.03159;0.02578
11/11/2024;0.02770;0.02781;0.02490
10/11/2024;0.02518;0.02683;0.02287
09/11/2024;0.02344;0.02345;0.02171
08/11/2024;0.02203;0.02211;0.02107
07/11/2024;0.02169;0.02220;0.02098
06/11/2024;0.02138;0.02153;0.01891
05/11/2024;0.01891;0.01921;0.01742
04/11/2024;0.01739;0.01825;0.01698
03/11/2024;0.01800;0.01910;0.01719
02/11/2024;0.01888;0.01953;0.01869
01/11/2024;0.01920;0.02017;0.01882
31/10/2024;0.01961;0.02087;0.01942
30/10/2024;0.02072;0.02132;0.02037
29/10/2024;0.02128;0.02156;0.02030
28/10/2024;0.02037;0.02094;0.01962
27/10/2024;0.02065;0.02094;0.01989
26/10/2024;0.02032;0.02065;0.01959
25/10/2024;0.02034;0.02321;0.01955
24/10/2024;0.02314;0.02333;0.02195
23/10/2024;0.02246;0.02460;0.02182
22/10/2024;0.02416;0.02426;0.02228
21/10/2024;0.02350;0.02465;0.02345
20/10/2024;0.02415;0.02480;0.02265
19/10/2024;0.02320;0.02361;0.02257
18/10/2024;0.02279;0.02286;0.02115
17/10/2024;0.02121;0.02258;0.02088
16/10/2024;0.02229;0.02295;0.02206
15/10/2024;0.02278;0.02373;0.02185
14/10/2024;0.02326;0.02347;0.02149
13/10/2024;0.02172;0.02209;0.02093
12/10/2024;0.02177;0.02214;0.02075
11/10/2024;0.02085;0.02118;0.01987
10/10/2024;0.01997;0.02028;0.01925
09/10/2024;0.01982;0.02111;0.01943
08/10/2024;0.02049;0.02175;0.02023
07/10/2024;0.02113;0.02230;0.02068
06/10/2024;0.02090;0.02094;0.01936
05/10/2024;0.01950;0.02012;0.01899
04/10/2024;0.01978;0.01994;0.01897
03/10/2024;0.01911;0.02009;0.01847
02/10/2024;0.01966;0.02102;0.01908
01/10/2024;0.02031;0.02382;0.01952
30/09/2024;0.02240;0.02456;0.02224
29/09/2024;0.02438;0.02491;0.02323
28/09/2024;0.02425;0.02527;0.02375
27/09/2024;0.02466;0.02500;0.02315
26/09/2024;0.02328;0.02351;0.02119
25/09/2024;0.02145;0.02247;0.02130
24/09/2024;0.02195;0.02222;0.01999
23/09/2024;0.02046;0.02120;0.01996
22/09/2024;0.02031;0.02086;0.01960
21/09/2024;0.02086;0.02092;0.01972
20/09/2024;0.01996;0.02060;0.01912
19/09/2024;0.01961;0.02023;0.01891
18/09/2024;0.01891;0.01891;0.01741
17/09/2024;0.01809;0.01818;0.01714
16/09/2024;0.01730;0.01772;0.01695
15/09/2024;0.01751;0.01855;0.01744
14/09/2024;0.01825;0.01871;0.01810
13/09/2024;0.01847;0.01856;0.01772
12/09/2024;0.01824;0.01845;0.01773
11/09/2024;0.01799;0.01865;0.01737
10/09/2024;0.01865;0.01887;0.01828
09/09/2024;0.01861;0.01952;0.01851
08/09/2024;0.01876;0.01901;0.01788
07/09/2024;0.01842;0.01880;0.01721
06/09/2024;0.01739;0.01824;0.01658
05/09/2024;0.01739;0.01805;0.01715
04/09/2024;0.01802;0.01851;0.01652
03/09/2024;0.01751;0.01872;0.01747
02/09/2024;0.01848;0.01863;0.01763
01/09/2024;0.01770;0.01903;0.01731
31/08/2024;0.01901;0.02012;0.01892
30/08/2024;0.01996;0.02037;0.01872
29/08/2024;0.01881;0.02023;0.01851
28/08/2024;0.01887;0.01969;0.01819
27/08/2024;0.01891;0.02181;0.01856
26/08/2024;0.02021;0.02176;0.02012
25/08/2024;0.02159;0.02225;0.02044
24/08/2024;0.02165;0.02220;0.02115
23/08/2024;0.02141;0.02148;0.01857
22/08/2024;0.01859;0.01866;0.01795
21/08/2024;0.01831;0.01867;0.01722
20/08/2024;0.01795;0.01891;0.01735
19/08/2024;0.01741;0.01764;0.01677
18/08/2024;0.01707;0.01798;0.01652
17/08/2024;0.01699;0.01702;0.01582
16/08/2024;0.01588;0.01630;0.01537
15/08/2024;0.01619;0.01750;0.01589
14/08/2024;0.01662;0.01744;0.01631
13/08/2024;0.01682;0.01695;0.01612
12/08/2024;0.01676;0.01724;0.01559
11/08/2024;0.01568;0.01732;0.01542
10/08/2024;0.01686;0.01706;0.01661
09/08/2024;0.01686;0.01749;0.01634
08/08/2024;0.01749;0.01776;0.01579
07/08/2024;0.01614;0.01755;0.01595
06/08/2024;0.01699;0.01750;0.01573
05/08/2024;0.01573;0.01770;0.01382
04/08/2024;0.01757;0.01912;0.01700
03/08/2024;0.01858;0.02026;0.01813
02/08/2024;0.01982;0.02212;0.01959
01/08/2024;0.02194;0.02225;0.02034
31/07/2024;0.02190;0.02321;0.02178
30/07/2024;0.02267;0.02395;0.02220
29/07/2024;0.02314;0.02446;0.02298
28/07/2024;0.02301;0.02357;0.02273
27/07/2024;0.02356;0.02417;0.02290
26/07/2024;0.02372;0.02395;0.02244
25/07/2024;0.02250;0.02348;0.02144
24/07/2024;0.02348;0.02465;0.02327
23/07/2024;0.02375;0.02519;0.02340
22/07/2024;0.02457;0.02655;0.02442
21/07/2024;0.02639;0.02688;0.02448
20/07/2024;0.02603;0.02652;0.02502
19/07/2024;0.02542;0.02581;0.02312
18/07/2024;0.02388;0.02637;0.02326
17/07/2024;0.02542;0.02673;0.02459
16/07/2024;0.02458;0.02503;0.02316
15/07/2024;0.02424;0.02444;0.02217
14/07/2024;0.02224;0.02249;0.02120
13/07/2024;0.02177;0.02198;0.02136
12/07/2024;0.02145;0.02160;0.02070
11/07/2024;0.02080;0.02258;0.02080
10/07/2024;0.02177;0.02280;0.02155
09/07/2024;0.02194;0.02231;0.02124
08/07/2024;0.02144;0.03200;0.01993
07/07/2024;0.02100;0.02253;0.02086
06/07/2024;0.02241;0.02303;0.02093
05/07/2024;0.02109;0.02235;0.01900
04/07/2024;0.02235;0.02554;0.02226
03/07/2024;0.02548;0.02766;0.02514
02/07/2024;0.02741;0.02803;0.02685
01/07/2024;0.02685;0.02800;0.02685
30/06/2024;0.02759;0.02790;0.02635
29/06/2024;0.02635;0.02746;0.02635
28/06/2024;0.02659;0.02837;0.02659
27/06/2024;0.02803;0.02900;0.02718
26/06/2024;0.02782;0.02921;0.02744
25/06/2024;0.02850;0.02932;0.02788
24/06/2024;0.02804;0.02804;0.02577
23/06/2024;0.02701;0.02898;0.02660
22/06/2024;0.02852;0.02887;0.02766
21/06/2024;0.02780;0.02895;0.02749
20/06/2024;0.02807;0.02954;0.02763
19/06/2024;0.02774;0.02879;0.02542
18/06/2024;0.02714;0.02973;0.02567
17/06/2024;0.02973;0.03338;0.02876
